page_id,dataset,source_path,error_type,message
coru_page_1e0af33061f129,coru,data/raw/public/coru/Receipt Question Answering/test/296ebd2b-e93c-482f-a32e-eb34fbbc2b90.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\296ebd2b-e93c-482f-a32e-eb34fbbc2b90.json
coru_page_20e1043f563051,coru,data/raw/public/coru/Receipt Question Answering/test/072ab680-0e02-4a2c-aa23-9cc7dfd01ccc.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\072ab680-0e02-4a2c-aa23-9cc7dfd01ccc.json
coru_page_229f71d2507173,coru,data/raw/public/coru/Receipt Question Answering/test/96ff8286-4c03-4d96-82f4-b6a647083da4.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\96ff8286-4c03-4d96-82f4-b6a647083da4.json
coru_page_23fa46a857bb79,coru,data/raw/public/coru/Receipt Question Answering/test/a560393e-f595-42d7-b3f3-9fc75525dbbd.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\a560393e-f595-42d7-b3f3-9fc75525dbbd.json
coru_page_29991fce8dafec,coru,data/raw/public/coru/Receipt Question Answering/test/b8ba4d11-dd6f-4a72-abec-6ced1a8b5735.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\b8ba4d11-dd6f-4a72-abec-6ced1a8b5735.json
coru_page_2e2d0b8fe92c5d,coru,data/raw/public/coru/Receipt Question Answering/test/c0374aac-ac70-4444-a432-57bdab22ab83.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\c0374aac-ac70-4444-a432-57bdab22ab83.json
coru_page_2e72227b355a77,coru,data/raw/public/coru/Receipt Question Answering/test/289b078d-4aff-4dca-bd94-cf9dc9dcf3c3.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\289b078d-4aff-4dca-bd94-cf9dc9dcf3c3.json
coru_page_33335b9f89d046,coru,data/raw/public/coru/Receipt Question Answering/test/265dcf3b-eabc-49ed-9c46-199a60071369.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\265dcf3b-eabc-49ed-9c46-199a60071369.json
coru_page_37cdf2111b4158,coru,data/raw/public/coru/Receipt Question Answering/test/e255f6ee-c297-407f-a8b1-521fcf283baf.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\e255f6ee-c297-407f-a8b1-521fcf283baf.json
coru_page_37f95c1ceb5662,coru,data/raw/public/coru/Receipt Question Answering/test/9ac26c57-0e67-448f-8475-4edeef61fa61.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\9ac26c57-0e67-448f-8475-4edeef61fa61.json
coru_page_396cfe7495fd00,coru,data/raw/public/coru/Receipt Question Answering/test/99e4bc1b-986c-4b10-959a-d0afa00bf130.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\99e4bc1b-986c-4b10-959a-d0afa00bf130.json
coru_page_39cdd79aebb7ad,coru,data/raw/public/coru/Receipt Question Answering/test/47ed86a9-16e2-4887-b1ac-ac86b5a9bfd4.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\47ed86a9-16e2-4887-b1ac-ac86b5a9bfd4.json
coru_page_39efc1c070a536,coru,data/raw/public/coru/Receipt Question Answering/test/24edec81-3e59-4acd-a173-0a583a3a8529.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\24edec81-3e59-4acd-a173-0a583a3a8529.json
coru_page_3a546d8c2fef60,coru,data/raw/public/coru/Receipt Question Answering/test/17d3b528-6a67-445e-99c8-02d7245e1e5b.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\17d3b528-6a67-445e-99c8-02d7245e1e5b.json
coru_page_3b3d2ef338651d,coru,data/raw/public/coru/Receipt Question Answering/test/43f2e1c0-95f3-40da-a372-aad923c5eaf1.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\43f2e1c0-95f3-40da-a372-aad923c5eaf1.json
coru_page_3c8a8d8da0e815,coru,data/raw/public/coru/Receipt Question Answering/test/36f983c2-3471-4a76-88ec-ecab7b67f216.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\36f983c2-3471-4a76-88ec-ecab7b67f216.json
coru_page_3e7d32ea385cdd,coru,data/raw/public/coru/Receipt Question Answering/test/128f725e-9d7a-49fd-bff8-ec8e137da643.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\128f725e-9d7a-49fd-bff8-ec8e137da643.json
coru_page_3f2c99079adf8c,coru,data/raw/public/coru/Receipt Question Answering/test/b9c7eb6e-f9f0-4b40-bfd8-61023c32df8e.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\b9c7eb6e-f9f0-4b40-bfd8-61023c32df8e.json
coru_page_438b8d1a256822,coru,data/raw/public/coru/Receipt Question Answering/test/389ac6c5-7247-4ef8-a667-fead90b52b34.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\389ac6c5-7247-4ef8-a667-fead90b52b34.json
coru_page_46ade49925071b,coru,data/raw/public/coru/Receipt Question Answering/test/24e3f798-c5fc-434c-9e04-82d84dfbab1e.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\24e3f798-c5fc-434c-9e04-82d84dfbab1e.json
coru_page_4735b92196cf0b,coru,data/raw/public/coru/Receipt Question Answering/test/68860329-7a1a-41c7-a7e3-4d7d8e524652.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\68860329-7a1a-41c7-a7e3-4d7d8e524652.json
coru_page_486f0ffdf8e76b,coru,data/raw/public/coru/Receipt Question Answering/test/66eb8c91-771e-48c1-ae7e-9385fe679e83.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\66eb8c91-771e-48c1-ae7e-9385fe679e83.json
coru_page_4a5d860c99a1bf,coru,data/raw/public/coru/Receipt Question Answering/test/97d9a8c3-9819-4515-aa78-5d143a9d9bbd.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\97d9a8c3-9819-4515-aa78-5d143a9d9bbd.json
coru_page_4a97bf41f9fe2d,coru,data/raw/public/coru/Receipt Question Answering/test/267618e9-5296-4041-b86f-dbf836561a09.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\267618e9-5296-4041-b86f-dbf836561a09.json
coru_page_4b8b028819a33d,coru,data/raw/public/coru/Receipt Question Answering/test/268e546c-2043-48e2-9d24-a9a3b50db44f.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\268e546c-2043-48e2-9d24-a9a3b50db44f.json
coru_page_4cda55c8137676,coru,data/raw/public/coru/Receipt Question Answering/test/a6337289-7fbb-4f2e-8b1a-59bd67a4df21.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\a6337289-7fbb-4f2e-8b1a-59bd67a4df21.json
coru_page_4d43840e0e8262,coru,data/raw/public/coru/Receipt Question Answering/test/333ef114-5c7d-4d12-8fcc-e3b21e951ce8.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\333ef114-5c7d-4d12-8fcc-e3b21e951ce8.json
coru_page_4d7308e736affd,coru,data/raw/public/coru/Receipt Question Answering/test/077ae836-981c-4539-a633-d9cd033f84d8.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\077ae836-981c-4539-a633-d9cd033f84d8.json
coru_page_4f41bddbdcf536,coru,data/raw/public/coru/Receipt Question Answering/test/36aef25e-e74b-461a-a64d-736950f65e28.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\36aef25e-e74b-461a-a64d-736950f65e28.json
coru_page_503e89c1e4a686,coru,data/raw/public/coru/Receipt Question Answering/test/17e75d7f-6b56-452e-8227-f9138a92d799.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\17e75d7f-6b56-452e-8227-f9138a92d799.json
coru_page_54c866a1c694c5,coru,data/raw/public/coru/Receipt Question Answering/test/38cfad29-72e8-431e-aa34-9547fb4bf710.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\38cfad29-72e8-431e-aa34-9547fb4bf710.json
coru_page_56ba18baa9e7ff,coru,data/raw/public/coru/Receipt Question Answering/test/3820bd11-7f57-4a0a-bb7e-3b30aab7664b.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\3820bd11-7f57-4a0a-bb7e-3b30aab7664b.json
coru_page_5e12cc9ddce494,coru,data/raw/public/coru/Receipt Question Answering/test/076dc90c-28e5-4d76-aa80-9dddd0ea2d18.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\076dc90c-28e5-4d76-aa80-9dddd0ea2d18.json
coru_page_5e1f71300d21ed,coru,data/raw/public/coru/Receipt Question Answering/test/d29d24e6-6a75-4577-b947-b7028e2d7102.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\d29d24e6-6a75-4577-b947-b7028e2d7102.json
coru_page_66635db55cdc45,coru,data/raw/public/coru/Receipt Question Answering/test/37857e74-af7e-4d62-a68e-2d99274ce335.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\37857e74-af7e-4d62-a68e-2d99274ce335.json
coru_page_669f3cc8cb8280,coru,data/raw/public/coru/Receipt Question Answering/test/263f059b-379e-4bf6-b3da-05e1dd10afcf.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\263f059b-379e-4bf6-b3da-05e1dd10afcf.json
coru_page_6836ad8831a42c,coru,data/raw/public/coru/Receipt Question Answering/test/3850d014-96cd-4bf3-8116-bd90173b91c7.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\3850d014-96cd-4bf3-8116-bd90173b91c7.json
coru_page_68e79888fcd04b,coru,data/raw/public/coru/Receipt Question Answering/test/93d1ab95-bae0-4699-ac33-3045c502246e.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\93d1ab95-bae0-4699-ac33-3045c502246e.json
coru_page_6981841b7315e7,coru,data/raw/public/coru/Receipt Question Answering/test/533a764f-c54b-499e-9616-1bb0aed7221d.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\533a764f-c54b-499e-9616-1bb0aed7221d.json
coru_page_6bcfbe4f1d5935,coru,data/raw/public/coru/Receipt Question Answering/test/e0a808ad-a200-46ce-ad26-7b61eff0a910.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\e0a808ad-a200-46ce-ad26-7b61eff0a910.json
coru_page_6e48752b2e0b8c,coru,data/raw/public/coru/Receipt Question Answering/test/95b17abd-cb67-4048-ad10-55bdf8cb908d.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\95b17abd-cb67-4048-ad10-55bdf8cb908d.json
coru_page_703f4395231245,coru,data/raw/public/coru/Receipt Question Answering/test/10620953-edf7-4815-9ef7-28933f60d69b.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\10620953-edf7-4815-9ef7-28933f60d69b.json
coru_page_723691f07e8bd9,coru,data/raw/public/coru/Receipt Question Answering/test/53f449bb-0deb-4a75-a5da-307e91e6a3c1.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\53f449bb-0deb-4a75-a5da-307e91e6a3c1.json
coru_page_72c749d164c14a,coru,data/raw/public/coru/Receipt Question Answering/test/773f3df6-5fd9-466c-bf28-007b4052b0c0.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\773f3df6-5fd9-466c-bf28-007b4052b0c0.json
coru_page_751616b770b971,coru,data/raw/public/coru/Receipt Question Answering/test/044d515c-b393-42ed-bd82-662e1e3c54c2.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\044d515c-b393-42ed-bd82-662e1e3c54c2.json
coru_page_77a7fb58ec097b,coru,data/raw/public/coru/Receipt Question Answering/test/41f19707-002d-4d03-accc-84c771721dae.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\41f19707-002d-4d03-accc-84c771721dae.json
coru_page_7875f87af8061a,coru,data/raw/public/coru/Receipt Question Answering/test/83da920c-169e-49e0-8c57-778bf5980c8e.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\83da920c-169e-49e0-8c57-778bf5980c8e.json
coru_page_7ba22da508d534,coru,data/raw/public/coru/Receipt Question Answering/test/c881d7b7-48dd-4f6c-b456-9fd39b20deb3.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\c881d7b7-48dd-4f6c-b456-9fd39b20deb3.json
coru_page_7e909d70f98f8a,coru,data/raw/public/coru/Receipt Question Answering/test/c727b1fa-58c0-41c9-a012-ea4fe95a529b.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\c727b1fa-58c0-41c9-a012-ea4fe95a529b.json
coru_page_80a4ab1c6787da,coru,data/raw/public/coru/Receipt Question Answering/test/e5f4ae7e-9249-4e50-b0c8-e826ca68f187.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\e5f4ae7e-9249-4e50-b0c8-e826ca68f187.json
coru_page_84c708bc1b160b,coru,data/raw/public/coru/Receipt Question Answering/test/dc16b8d5-17a9-4db3-ab0f-bb21ac450702.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\dc16b8d5-17a9-4db3-ab0f-bb21ac450702.json
coru_page_8a0018d75ee99b,coru,data/raw/public/coru/Receipt Question Answering/test/153b8d7d-6a42-4e35-8926-645c0f2c7e80.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\153b8d7d-6a42-4e35-8926-645c0f2c7e80.json
coru_page_8bad032970d173,coru,data/raw/public/coru/Receipt Question Answering/test/127cd24d-06c5-4fbd-850e-9e0f4ca5e967.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\127cd24d-06c5-4fbd-850e-9e0f4ca5e967.json
coru_page_8e741e9aca6109,coru,data/raw/public/coru/Receipt Question Answering/test/124eff0a-45a8-425b-b736-a02567ffb803.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\124eff0a-45a8-425b-b736-a02567ffb803.json
coru_page_8e922e5826efb9,coru,data/raw/public/coru/Receipt Question Answering/test/38a7fa41-497d-42c8-bbcd-c13dbdec37e0.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\38a7fa41-497d-42c8-bbcd-c13dbdec37e0.json
coru_page_8f11406fb3325d,coru,data/raw/public/coru/Receipt Question Answering/test/86c2d10d-3290-41d8-ae78-41682961a973.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\86c2d10d-3290-41d8-ae78-41682961a973.json
coru_page_8f72b8caf56ba8,coru,data/raw/public/coru/Receipt Question Answering/test/fa5c1048-b463-4384-9cb6-35982f3b66f0.jpg,JSONDecodeError,"Expecting ',' delimiter: line 42 column 1 (char 3109)"
coru_page_904c310dd9dd31,coru,data/raw/public/coru/Receipt Question Answering/test/916925df-0f8c-473e-86c7-3ed9b3f3bab3.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\916925df-0f8c-473e-86c7-3ed9b3f3bab3.json
coru_page_909dc87e42a30f,coru,data/raw/public/coru/Receipt Question Answering/test/f551895e-19e3-4e55-9d81-be274a1ee807.jpg,JSONDecodeError,Expecting ':' delimiter: line 28 column 11 (char 892)
coru_page_939aa0bd826ebc,coru,data/raw/public/coru/Receipt Question Answering/test/ddd8ada9-a82c-4ed5-ad00-981a4204b9fb.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\ddd8ada9-a82c-4ed5-ad00-981a4204b9fb.json
coru_page_943751b117bb67,coru,data/raw/public/coru/Receipt Question Answering/test/73b5f3a0-bc57-4e8a-80e5-b8037a3a45ce.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\73b5f3a0-bc57-4e8a-80e5-b8037a3a45ce.json
coru_page_950bd81b3e8943,coru,data/raw/public/coru/Receipt Question Answering/test/ac6cd702-45f6-4a28-97ed-a843f538f9cc.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\ac6cd702-45f6-4a28-97ed-a843f538f9cc.json
coru_page_96dccf75120e43,coru,data/raw/public/coru/Receipt Question Answering/test/331f0d98-5041-464b-8f90-0d14c0c9e1aa.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\331f0d98-5041-464b-8f90-0d14c0c9e1aa.json
coru_page_975e69bb507ed9,coru,data/raw/public/coru/Receipt Question Answering/test/151125c5-a7a4-4ac4-8a02-a16716939370.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\151125c5-a7a4-4ac4-8a02-a16716939370.json
coru_page_a2f9aff4e28806,coru,data/raw/public/coru/Receipt Question Answering/test/323e4953-09c6-457d-8f1b-d9a00870c028.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\323e4953-09c6-457d-8f1b-d9a00870c028.json
coru_page_a52d46f262210f,coru,data/raw/public/coru/Receipt Question Answering/test/7678aefa-7bf6-443d-b461-0888a75f946f.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\7678aefa-7bf6-443d-b461-0888a75f946f.json
coru_page_a58f9203a3654e,coru,data/raw/public/coru/Receipt Question Answering/test/4f614abb-a301-4066-8e82-c801626d9ed3.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\4f614abb-a301-4066-8e82-c801626d9ed3.json
coru_page_a64972ebefbd53,coru,data/raw/public/coru/Receipt Question Answering/test/24ba81c4-7542-4acc-b49b-3affc8db120e.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\24ba81c4-7542-4acc-b49b-3affc8db120e.json
coru_page_a7159d084e40d3,coru,data/raw/public/coru/Receipt Question Answering/test/cf58699e-0a2d-452a-ac8a-f9edc360b528.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\cf58699e-0a2d-452a-ac8a-f9edc360b528.json
coru_page_a77e843376a051,coru,data/raw/public/coru/Receipt Question Answering/test/65ee61eb-9eb5-4d2d-8a12-95b9146c96a6.jpg,AnnotationConversionError,CORU QA annotation missing: C:\Assumption University\CSX4201\Project\data\raw\public\coru\Receipt Question Answering\test\65ee61eb-9eb5-4d2d-8a12-95b9146c96a6.json
